Location Name,Work Performed Date,Location Address,Issue,Description,Labor Cost,Material Cost,Total Cost,Location
Prospect Park,09/04/2013,399 Bellows St.,Graffiti,Graffiti on the park bench,54.20,34.05,88.25,"(44.9339, -93.0934)"
Citywide Graffiti,09/06/2013,1261 Grand Ave,Graffiti,Graffiti on the side walk at 1261 Grand,30.17,1.65,31.82,"(44.9401, -93.1535)"
Mounds Park,09/06/2013,185 Mounds Blvd.,Graffiti,Graffiti on the street car station,54.20,44.05,98.25,"(44.9501, -93.0679)"
Baker CC,09/10/2013,209 W. Page St.,Graffiti,Graffiti on building and tot lot,54.20,14.05,68.25,"(44.9247, -93.0944)"
Phalen Beach House,09/10/2013,1400 Phalen Dr.,Graffiti,Graffiti on rules signs and building,54.20,24.05,78.25,"(44.9838, -93.0556)"
Mounds Park,09/10/2013,185 Mounds Blvd.,Graffiti,Graffiti on memerial plaque,54.20,24.05,78.25,"(44.9501, -93.0679)"
Cherokee Park,09/10/2013,700 Cherokee Heights Boulevard,Graffiti,Graffiti on the tennis court,54.20,24.05,78.25,"(44.9243, -93.1074)"
Raspberry Island,09/10/2013,2 Wabasha St S,Graffiti,Graffiti on electrical boxes,54.20,14.05,68.25,"(44.9422, -93.0911)"
High Bridge Park (N),09/10/2013,476 Smith Ave,Graffiti,Graffiti on stone sculpture and gate,108.40,24.05,132.45,"(44.9374, -93.1091)"
Newell Park,09/11/2013,900 N. Fairview Ave.,Graffiti,Graffiti on the corner of Hewitt and Wheeler,54.20,50.00,104.20,"(44.968, -93.1759)"
Clayland Park,09/11/2013,901 N. Fairview Ave.,Graffiti,Graffiti on the slide,54.20,24.05,78.25,"(44.968, -93.1759)"
Marydale Park,09/11/2013,1120 N. Dale St.,Graffiti,Graffiti on the fishing dock,54.20,14.05,68.25,"(44.9748, -93.1263)"
Citywide Graffiti,09/11/2013,644 Burr Ave,Graffiti,Graffiti at 644 Burr,30.17,16.65,46.82,"(44.9607, -93.0797)"
Newell Park,09/11/2013,900 N. Fairview Ave.,Graffiti,Graffiti on large rock within the park,54.20,24.05,78.25,"(44.968, -93.1759)"
Citywide Graffiti,09/11/2013,Kennard St N and Conway St,Graffiti,Graffiti at the intersection of Kenard and Conway,30.17,26.65,56.82,"(44.9559, -93.0303)"
Highland Park,09/12/2013,1247 Montreal Ave.,Graffiti,Graffiti graffiti on Montreal Bridge steps,54.20,24.05,78.25,"(44.9125, -93.153)"
MRB,09/12/2013,,Graffiti,Graffiti on benches and electrical boxes,54.20,24.05,78.25,
McDonough Rec,09/16/2013,1544 Timber Lake Rd.,Graffiti,Graffiti on field light poles,27.10,7.28,34.38,"(44.9881, -93.0933)"
Marydale Park,09/16/2013,1120 N. Dale St.,Graffiti,Graffiti on telephone pole and electric box,54.20,14.05,68.25,"(44.9748, -93.1263)"
Raspberry Island,09/16/2013,2 Wabasha St S,Graffiti,Graffiti on the benches on the south side,54.20,14.05,68.25,"(44.9422, -93.0911)"
Citywide Graffiti,09/18/2013,Snelling Ave N and W Minnehaha,Graffiti,SE corner of Snelling and Minnehaha,30.17,1.65,31.82,"(44.9629, -93.1671)"
Orchard Rec,09/20/2013,875 Orchard Ave.,Graffiti,Graffiti on play equipment,61.41,3.31,64.72,"(44.9725, -93.1371)"
Merriam Park,09/23/2013,2000 St. Anthony Ave.,Graffiti,Graffiti on the skate park,339.62,72.82,412.44,"(44.9526, -93.1854)"
Eastview Rec,09/23/2013,1675 Fifth St. E.,Graffiti,Graffiti on the horse shoe pit back boards,54.20,4.05,58.25,"(44.9596, -93.0296)"
Citywide Graffiti,09/23/2013,1589 Blair Ave,Graffiti,Graffiti on sewer grate at 1589 Blair,30.17,1.65,31.82,"(44.9611, -93.1675)"
Phalen Regional,09/23/2013,1615 Phalen Dr,Graffiti,Graffiti on East Shore Drive Tunnel,81.30,46.08,127.38,"(44.9904, -93.0612)"
Daytons Bluff,09/24/2013,800 Conway St.,Graffiti,Graffiti on tot lot,27.10,12.03,39.13,"(44.9556, -93.0671)"
Edgcumbe Rec,09/24/2013,320 S. Griggs St.,Graffiti,Graffiti on south side of building and dorrs and trash,54.20,14.05,68.25,"(44.9318, -93.1516)"
Front Rec,09/24/2013,485 Stinson St.,Graffiti,Graffiti in the mens room,81.30,46.08,127.38,"(44.9693, -93.1205)"
Dunning Rec,09/24/2013,1221 Marshall Ave.,Graffiti,Graffiti on picnic tables and benches,27.10,22.03,49.13,"(44.9486, -93.1518)"
Harriet Island,09/27/2013,50 Harriet Island,Graffiti,"Graffiti on riverwalk, by Wabasha Bridge",54.20,4.05,58.25,"(44.9401, -93.0932)"
Harriet Island,09/27/2013,50 Harriet Island,Graffiti,Graffiti in west parking lot,54.20,24.05,78.25,"(44.9401, -93.0932)"
Harriet Island,09/27/2013,50 Harriet Island,Graffiti,Graffiti on light pole,54.20,24.05,78.25,"(44.9401, -93.0932)"
Eastview Rec,09/30/2013,1675 Fifth St. E.,Graffiti,Graffiti on SW side of building,27.10,7.03,34.13,"(44.9596, -93.0296)"
Newell Park,09/30/2013,900 N. Fairview Ave.,Graffiti,Graffiti in park on Wheeler and Taylor Ave,27.10,12.03,39.13,"(44.968, -93.1759)"
Langford Rec,10/02/2013,30 Langford Park,Graffiti,Graffiti on exterior wall of gym and bang booard,54.20,29.05,83.25,"(44.9765, -93.1957)"
Citywide,10/02/2013,Tuscarora Ave W and 7th St W,Graffiti,Graffiti at 7th and Tuscarora,30.17,1.65,31.82,"(44.9233, -93.1333)"
Daytons Bluff,10/03/2013,800 Conway St.,Graffiti,Graffiti on bleachers and bench,27.10,12.03,39.13,"(44.9556, -93.0672)"
Margaret Rec,10/03/2013,1109 Margaret St.,Graffiti,Graffiti on the retaining wall,27.10,12.03,39.13,"(44.9613, -93.0537)"
Newell Park,10/04/2013,900 N. Fairview Ave.,Graffiti,Graffiti in the mens restroom,54.20,19.05,73.25,"(44.968, -93.1759)"
Langford Rec,10/04/2013,30 Langford Park,Graffiti,Graffiti on the building and tot lot,27.10,12.03,39.13,"(44.9765, -93.1957)"
Phalen Regional,10/04/2013,1615 Phalen Dr,Graffiti,Graffiti on bridge between Round and Phalen,27.10,12.03,39.13,"(44.9904, -93.0612)"
Como Picnic RR,10/07/2013,1200 Midway Parkway,Graffiti,Graffiti on picnic pergola,54.20,54.05,108.25,"(44.979, -93.1526)"
Como Regional,10/07/2013,1281 W. Como Blvd.,Graffiti,Graffiti on the Dutch Oven,54.20,29.05,83.25,"(44.9776, -93.1539)"
Langford Rec,10/08/2013,30 Langford Park,Graffiti,Graffiti on Bang Board,54.20,24.05,78.25,"(44.9765, -93.1957)"
MRB,10/10/2013,476 Smith Ave,Graffiti,Graffiti on the 476 Smith Ave box at MRB / Summit,30.17,6.65,36.82,"(44.9374, -93.1091)"
Citywide,10/10/2013,210 9th Ave,Graffiti,Graffiti at 210 9th Street,30.17,11.65,41.82,"(44.9519, -93.0908)"
Langford Rec,10/11/2013,30 Langford Park,Graffiti,Graffiti on Bang Board,115.61,32.36,147.97,"(44.9765, -93.1957)"
Mounds Park,10/11/2013,185 Mounds Blvd.,Graffiti,Graffiti on the Historic Pavilion,60.35,33.31,93.66,"(44.9501, -93.0679)"
Citywide,10/11/2013,Case Ave E and Desoto St,Graffiti,Graffiti on the corner of Case and Desoto,60.35,23.31,83.66,"(44.9702, -93.0812)"
Eastview Rec,10/15/2013,1675 Fifth St. E.,Graffiti,"Graffiti on building, picnic table , benches, trash cans",81.30,26.08,107.38,"(44.9596, -93.0296)"
Baker Rec,10/15/2013,670 Waseca St.,Graffiti,Graffiti on walls next tot the playground,81.30,26.08,107.38,"(44.9258, -93.0943)"
Citywide,10/16/2013,674 Geranium Ave,Graffiti,Graffiti on the sidewalk of 674 Geranium,60.35,28.31,88.66,"(44.9756, -93.072)"
Highland Park Poll,10/16/2013,1259 Montreal Ave.,Graffiti,Graffiti on the old pool building,108.40,48.10,156.50,"(44.9125, -93.1535)"
Hazel Park,10/17/2013,945 Hazel Ave.,Graffiti,Graffiti on building,108.40,28.10,136.50,"(44.9698, -93.0203)"
Citywide,10/18/2013,1101 Rice St,Graffiti,Grafitti on 1101 Rice Street,54.20,19.05,73.25,"(44.9744, -93.106)"
Dunning Rec,10/18/2013,1221 Marshall Ave.,Graffiti,Graffiti on building transformer,108.40,43.10,151.50,"(44.9486, -93.1518)"
W. Minnehaha,10/18/2013,685 W. Minnehaha Ave.,Graffiti,Graffiti on tot lot,54.20,14.05,68.25,"(44.963, -93.1292)"
Western Park,10/22/2013,387 Marion St.,Graffiti,Graffiti on stone piece of art,54.20,14.05,68.25,"(44.9531, -93.1097)"
Lewis Park,10/22/2013,181 Wayzata St.,Graffiti,Graffiti on climbing arch,27.10,12.03,39.13,"(44.9691, -93.1077)"
Harriet Island,10/28/2013,120 Harriet Island Rd,Graffiti,Grafiti on the Target Stage,27.10,12.03,39.13,"(44.9409, -93.0907)"
Harriet Island,10/28/2013,120 Harriet Island Rd,Graffiti,Graffiti on the vetran memorial,27.10,2.03,29.13,"(44.9409, -93.0907)"
Palace Rec,10/30/2013,781 Palace Ave.,Graffiti,"Graffiti on the tot lot, benches, building",54.20,34.05,88.25,"(44.9292, -93.1329)"
Citywide,10/30/2013,Marshall Ave and Fairview Ave N,Graffiti,Graffiti on the corner of Fairview and Marshall,30.17,21.65,51.82,"(44.9484, -93.1772)"
Harriet Island,11/04/2013,120 Harriet Island Rd,Graffiti,Graffiti behind the Target Stage,27.10,12.03,39.13,"(44.9409, -93.0907)"
Citywide,11/04/2013,Dale St N and W Minnehaha Ave,Graffiti,Graffiti on the corner of Dale and Minehaha,30.17,1.65,31.82,"(44.963, -93.1264)"
Citywide,11/06/2013,674 Geranium Ave,Graffiti,Graffiti on 674 Geranium,60.35,3.31,63.66,"(44.9756, -93.072)"
Great River,11/06/2013,1079 Iglehart Ave,Graffiti,Graffiti on exterior of building above water slides,108.40,28.10,136.50,"(44.9494, -93.1453)"
Harriet Island,11/12/2013,200 Dr Justice Ohage Blvd,Graffiti,Graffiti on the Showboat building,54.20,4.05,58.25,"(44.9368, -93.0975)"
MRB,11/12/2013,Mississippi River Blvd and Dayton Ave,Graffiti,Graffiti on the wall at Dayton and MRB,108.40,36.20,144.60,"(44.9465, -93.1989)"
St. Clair,11/13/2013,265 Oneida St.,Graffiti,Graffiti on a green wooden box,27.10,12.03,39.13,"(44.9334, -93.1233)"
Citywide,11/13/2013,409 Robert St N,Graffiti,Graffiti at 409 Robert on sidewalk,27.10,2.03,29.13,"(44.9487, -93.092)"
Daytons Bluff,11/14/2013,800 Conway St.,Graffiti,Graffiti on building facing the parking lot,27.10,2.03,29.13,"(44.9556, -93.067)"
Scheffer,11/14/2013,237 Thomas Ave.,Graffiti,Graffiti on the building,27.10,12.03,39.13,"(44.9594, -93.1101)"
Palace,11/14/2013,781 Palace Ave.,Graffiti,Graffiti on the building,27.10,12.03,39.13,"(44.9292, -93.1329)"
Edgcunbe,11/15/2013,320 S. Griggs St.,Graffiti,Graffiti on exterior gym wall and door,27.10,22.03,49.13,"(44.9318, -93.1516)"
Palace,11/18/2013,781 Palace Ave.,Graffiti,Graffiti on the dumpster,54.20,24.05,78.25,"(44.9292, -93.1329)"
Swede Hollow,11/18/2013,651 Greenbrier St. E.,Graffiti,Graffiti on the pedestrian tunnel,60.35,23.31,83.66,"(44.9606, -93.0711)"
Scheffer,11/18/2013,237 Thomas Ave.,Graffiti,Graffiti on the building rules sign,27.10,12.03,39.13,"(44.9594, -93.1101)"
W. Minnehaha,11/18/2013,685 W. Minnehaha Ave.,Graffiti,graffiti on the play area,27.10,12.03,39.13,"(44.963, -93.1292)"
Eastview,11/22/2013,1675 Fifth St. E.,Graffiti,Grafftiti gang related on the building,27.10,22.03,49.13,"(44.9596, -93.0296)"
Phalen Regional,11/22/2013,1615 Phalen Dr,Graffiti,Graffiti the bridge abutment by the boat launch,27.10,22.03,49.13,"(44.9904, -93.0612)"
Como Picnic,11/25/2013,1199 Midway Parkway,Graffiti,Graffiti on the large boulder in the park,27.10,12.03,39.13,"(44.979, -93.1525)"
Harriet Island,11/25/2013,200 Dr Justice Ohage Blvd,Graffiti,Graffiti on the yacht club gate,27.10,22.03,49.13,"(44.9368, -93.0975)"
Linwood Rec,12/02/2013,860 St. Clair Ave.,Graffiti,Graffiti northwest side of building,54.20,24.05,78.25,"(44.9341, -93.1364)"
Hidden Falls,12/02/2013,1415 Mississippi River Blvd,Graffiti,Graffiti on bridge abutments,54.20,24.05,78.25,"(44.9065, -93.1893)"
Lexington Pkwy,12/16/2013,350 Lexington Parkway North,Graffiti,Graffiti in the tunnel,60.35,23.31,83.66,"(44.9517, -93.1464)"
Commercial Street,12/26/2013,265 Commerical St,Graffiti,Graffiti on electrical box in the parking lot,60.35,13.31,73.66,"(44.953, -93.0749)"
Citywide Graffiti,12/31/2013,188 7th St W,Graffiti,Graffiti on the west side of 188 West 7th,60.35,23.31,83.66,"(44.9441, -93.1031)"
Lexington Parkway,01/06/2014,350 Lexington Parkway North,Graffiti,Graffiti in the pedestrian tunnel,30.17,26.65,56.83,"(44.9517, -93.1464)"
Citywide Graffiti,01/10/2014,670 Geranium Ave,Graffiti,Graffiti on sidewalk at 670 Geranium,115.61,27.36,142.97,"(44.9756, -93.0722)"
Citywide Graffiti,01/15/2014,491 Laurel Ave,Graffiti,Graffiti on electrical pole at 491 Laurel,30.17,11.65,41.83,"(44.9455, -93.1209)"
Iris Park,01/15/2014,489 W. Lynhurst Ave.,Graffiti,Graffiti on constrcution sign near the park,30.17,11.65,41.83,"(44.9557, -93.1807)"
Citywide Graffiti,01/15/2014,,Graffiti,Graffiti on electrical poles along Raymond Ave.,30.17,16.65,46.83,
Phalen Regional,01/15/2014,1615 Phalen Dr,Graffiti,Graffiti on trash totoer throughout the area,30.17,16.65,46.83,"(44.9904, -93.0612)"
Citywide Graffiti,01/15/2014,1530 Brewster St,Graffiti,Graffiti on 1530 Brewster. West wall,30.17,36.65,66.83,"(44.9748, -93.1648)"
Citywide Graffiti,01/16/2014,109 9th Ave S,Graffiti,"Graffiti on 109 9th St, walls and dumpster",30.17,21.65,51.83,
Citywide Graffiti,01/19/2014,Fairview Ave S and Bayard Ave,Graffiti,Graffiti on poles near Bayard and Fairview,30.17,16.65,46.83,"(44.9225, -93.1772)"
Citywide Graffiti,01/19/2014,Summit Ave and Summit Ln,Graffiti,Graffiti on poles near Summit Ave and Summit Lane,30.17,16.65,46.83,"(44.9413, -93.123)"
Citywide Graffiti,01/19/2014,N Syndicate St and W Seminary Ave,Graffiti,Graffiti on poles near Seminary and Syndicate,30.17,16.65,46.83,"(44.9648, -93.1543)"
Phalen Regional,01/22/2014,1615 Phalen Dr,Graffiti,Graffiti in the pedestrian tunnel,30.17,26.65,56.83,"(44.9904, -93.0612)"
Citywide Graffiti,01/22/2014,240 4th St E,Graffiti,Graffiti on the sale sign at 240 E 4th St,30.17,21.65,51.83,"(44.9484, -93.0862)"
Citywide Graffiti,01/22/2014,University Ave W and N Syndicate St,Graffiti,Graffiti on poles near University and Syndicate,30.17,11.65,41.83,"(44.9557, -93.1543)"
Citywide Graffiti,01/22/2014,Selby Ave and N Saratoga St,Graffiti,Graffiti on poles near Selby and Saratoga,30.17,11.65,41.83,"(44.9466, -93.1645)"
Citywide Graffiti,01/22/2014,Randolph Ave and S Finn St,Graffiti,Graffiti on poles near Finn and Randolph,30.17,11.65,41.83,"(44.9271, -93.1899)"
Citywide Graffiti,02/08/2014,Lower Afton Rd and Point Douglas Rd S,Graffiti,Graffiti on pole at Pt. Douglas and Lower Afton,30.17,11.65,41.83,"(44.9293, -93.0211)"
Citywide Graffiti,02/08/2014,Burns Ave and Hazelwood St,Graffiti,Graffiti on box at Burns and Hazelwood,30.17,11.65,41.83,"(44.9488, -93.0346)"
Citywide Graffiti,02/10/2014,,Graffiti,Graffiti on pole on Hawthorne west of Page,30.17,11.65,41.83,
Citywide Graffiti,02/25/2014,Selby Ave and Western Ave N,Graffiti,Graffiti at the corner of Selby and Western,150.88,83.27,234.15,"(44.9466, -93.1161)"
Citywide Graffiti,03/03/2014,White Bear Ave and 7th St E,Graffiti,Graffiti on the box at 7th nad White Bear,30.17,16.65,46.83,"(44.9667, -93.0253)"
Citywide Graffiti,03/06/2014,230 Front Ave,Graffiti,Graffiti at 230 Front,60.35,53.31,113.66,"(44.9702, -93.1098)"
MRB,03/06/2014,Mississippi River Blvd and Lake St,Graffiti,Graffiti at intersection of MRB and Lake Street,229.10,74.72,303.82,
Citywide Graffiti,03/06/2014,Grace St and Oneida St,Graffiti,graffiti on pole at Oneida and Grace,60.35,13.31,73.66,"(44.9324, -93.1232)"
Citywide Graffiti,03/07/2014,543 Cleveland Ave,Graffiti,Graffti at 543 Cleveland Ave,27.10,42.03,69.13,"(44.9253, -93.1875)"
Lilydale,03/11/2014,400 Water St,Graffiti,Graffiti on boat landing signs,30.17,11.65,41.83,"(44.932, -93.1018)"
Commercial St,03/11/2014,265 Commerical St,Graffiti,Graffiti on electrical box and building,229.10,74.72,303.82,"(44.9527, -93.0739)"
Como Lakeside Pav,03/14/2014,1360 N. Lexington Pkwy.,Graffiti,Graffiti lower level womens restroom door,30.17,11.17,41.83,"(44.9821, -93.1461)"
Orchard Rec,03/17/2014,875 Orchard Ave.,Graffiti,Graffiti exterior of building,114.55,21.62,136.17,"(44.9725, -93.1371)"
Rice Park,03/20/2014,106 W. Fifth St.,Graffiti,Graffiti on the electrical box,114.55,16.62,131.17,"(44.9451, -93.0975)"
Scheffer Rec,03/21/2014,237 Thomas Ave.,Graffiti,Graffiti on the building mural,57.27,13.31,70.59,"(44.9594, -93.1101)"
Commercial St,03/24/2014,265 Commerical St,Graffiti,Graffiti on electrical box,27.10,22.03,49.13,"(44.9527, -93.0739)"
Palace Rec,03/31/2014,781 Palace Ave.,Graffiti,Graffiti on Park's rules sign,114.55,24.05,138.60,"(44.9292, -93.1329)"
Swede Hollow,03/31/2014,651 Greenbrier St. E.,Graffiti,Graffiti on tunnel walls,60.35,78.31,138.66,"(44.9606, -93.0711)"
Hayden Heights,04/07/2014,1965 East Hoyt Ave.,Graffiti,Graffiti on tennis court and trash barrels,114.55,47.36,161.91,"(44.9884, -93.0173)"
Mounds Park,04/07/2014,185 Mounds Blvd.,Graffiti,Graffiti at the overlook and on stones,229.10,54.27,283.82,"(44.9501, -93.0679)"
Citywide Graffiti,04/08/2014,299 N Snelling Ave,Graffiti,Graffiti on 299 N Snelling building,30.17,11.65,41.83,"(44.9502, -93.1671)"
Dayton's Bluff,04/09/2014,800 Conway St.,Graffiti,Graffiti on field #1 bench,57.27,13.68,70.96,"(44.9555, -93.0671)"
Lilydale,04/09/2014,400 Water St,Bench,Reset the bench that patron are trying to remove,61.89,4.05,65.94,"(44.932, -93.1018)"
Lilydale,04/09/2014,400 Water St,Graffiti,Graffiti on memorial bench,114.55,27.36,141.91,"(44.932, -93.1018)"
Front Rec,04/10/2014,485 Stinson St.,Graffiti,Graffiti on skate ramp and signs,57.27,43.68,100.96,"(44.9693, -93.1205)"
Commercial St.,04/10/2014,265 Commerical St,Graffiti,Graffiti on building,114.55,60.67,175.22,"(44.9527, -93.0739)"
Battle Creek Rec,04/14/2014,75 South Winthrop,Graffiti,Graffiti on parlikng lot light poles,54.20,24.05,78.25,"(44.9385, -93.01)"
Eastview Rec,04/15/2014,1675 Fifth St. E.,Graffiti,Graffiti on building and etched glass,27.10,2.03,29.13,"(44.9596, -93.0296)"
Prospect Park,04/17/2014,399 Bellows St.,Graffiti,Graffiti on picnic tables,54.20,44.05,98.25,"(44.9339, -93.0934)"
High Bridge Park (N),04/17/2014,476 Smith Ave,Graffiti,Graffiti in park and on the bridge abutment,114.55,27.36,141.91,"(44.9374, -93.1091)"
Raspberry Island,04/21/2014,2 Wabasha St S,Graffiti,Graffiti on stage area,27.10,12.03,39.13,"(44.9422, -93.0911)"
Mounds Park Restroom,04/23/2014,185 Mounds Blvd.,Graffiti,Graffiti on picnic tables and shelter,54.20,54.05,108.25,"(44.9501, -93.0679)"
Summit Overlook,04/24/2014,408 Summit Ave.,Graffiti,Graffiti on light poles,57.27,13.68,70.96,"(44.9418, -93.1171)"
Newell Park,04/24/2014,900 N. Fairview Ave.,Graffiti,Graffiti on picnic tables and shelter,54.20,34.05,88.25,"(44.968, -93.1759)"
Eastview,04/24/2014,1675 5th St E,Graffiti,spray paint on walls,10.09,20.00,20.00,"(44.9596, -93.0296)"
Orchard,04/24/2014,875 Orchard Ave,Graffiti,Paint on exteriors walls,20.18,20.00,20.00,"(44.9725, -93.1371)"
Prospect Park,04/25/2014,399 Bellows St.,Graffiti,Graffiti on benches,162.60,52.15,214.75,"(44.9339, -93.0934)"
Harriet Island,04/28/2014,200 Dr Justice Ohage Blvd,Graffiti,Graffiti on levee gateway,54.20,14.05,68.25,"(44.9368, -93.0975)"
Edgcumbe Rec,04/30/2014,320 S. Griggs St.,Graffiti,Graffit on warming room walls,54.20,24.05,78.25,"(44.9318, -93.1516)"
Phalen Picnic Pav,04/30/2014,1600 Phalen Dr.,Graffiti,Graffiti above urinal in mens room,458.20,104.44,562.64,"(44.99, -93.0604)"
Eastivew,04/30/2014,1675 5th St E,Graffiti,Gang realated on bang board,10.09,10.00,10.00,"(44.9596, -93.0296)"
Edgcumbe Rec,05/01/2014,320 S. Griggs St.,Graffiti,Graffiti behind the dumpsters,57.27,23.68,80.96,"(44.9318, -93.1516)"
Langford Rec,05/01/2014,30 Langford Park,Graffiti,Graffiti on building electrical transformer,57.27,13.68,70.96,"(44.9765, -93.1957)"
Linwood Rec,05/02/2014,860 St. Clair Ave.,Graffiti,Graffiti on sw side of building and stairs,54.20,24.05,78.25,"(44.9341, -93.1364)"
Summiti Overlook,05/06/2014,408 Summit Ave.,Graffiti,Graffiti on the drinking fountain,57.27,13.68,70.96,"(44.9418, -93.1171)"
Mattock Park,05/06/2014,451 Macalester,Graffiti,Graffiti on picnic tables,57.27,13.68,70.96,"(44.9279, -93.1697)"
Graffiti PED,05/07/2014,276 Nugent St,Graffiti,"Graffiti on 276 Nugent, east side of house",30.17,21.65,51.83,"(44.9326, -93.1176)"
Dunning Baseball,05/08/2014,1221 Marshall Ave.,Graffiti,Graffiti on centerfiled light pole,57.27,23.68,80.96,"(44.9486, -93.1518)"
Phalen Regional,05/08/2014,1615 Phalen Dr,Graffiti,Graffiti on culveert by East Shore Drive,57.27,13.68,70.96,"(44.9904, -93.0612)"
Crosby Regional,05/08/2014,2530 Sheppard Rd.,Graffiti,Graffiti on shelter tables,114.55,17.36,131.91,"(44.8979, -93.1682)"
Cityhouse,05/08/2014,258 Mill St,Graffiti,Graffiti on the back wall and garage doors,57.27,13.68,70.96,"(44.9391, -93.1004)"
Eastview,05/08/2014,1675 5th St E,Graffiti,Chalk on walls,20.18,0.00,0.00,"(44.9596, -93.0296)"
Hamline Playground,05/09/2014,1559 Thomas Ave.,Graffiti,Graffiti on totlot,57.27,13.68,70.96,"(44.9593, -93.1662)"
Mounds Park,05/12/2014,185 Mounds Blvd.,Graffiti,Graffiti on the rules sign in the park,57.27,13.68,70.96,"(44.9501, -93.0679)"
Citywide Graffiti,05/12/2014,795 Rose Ave E,Graffiti,Graffiti at 795 Rose garage,54.20,34.05,88.25,"(44.9767, -93.0669)"
Prospect Park,05/14/2014,399 Bellows St.,Graffiti,Graffiti on tot lot,54.20,14.50,68.70,"(44.9339, -93.0934)"
Palace Rec,05/14/2014,781 Palace Ave.,Graffiti,Graffiti on the north side of the building and picnic tables,57.27,13.68,70.96,"(44.9292, -93.1329)"
35 E Path,05/14/2014,,Graffiti,Graffiti along pathway and tunnel,114.55,37.36,151.91,
Hidden Falls (N),05/14/2014,1415 Mississippi River Blvd,Graffiti,Graffiti in mens rest room,54.20,19.05,73.25,"(44.9065, -93.1893)"
Lilydale Regional,05/14/2014,400 Water St,Graffiti,Graffiti in the brick yard,57.27,24.05,81.33,"(44.932, -93.1018)"
Mounds Park,05/15/2014,185 Mounds Blvd.,Graffiti,Graffiti on the street cam pavilion,27.10,12.03,39.13,"(44.9501, -93.0679)"
Homecroft Rec,05/16/2014,1845 Sheridan Ave.,Graffiti,Graffiti on the rec signs,54.20,14.50,68.70,"(44.9015, -93.1784)"
Eastvie Rec,05/16/2014,1675 Fifth St. E.,Graffiti,Grsaffiti on the horse shoe courts and benches,27.10,12.25,39.35,"(44.9596, -93.0296)"
Crosby Regional,05/16/2014,2530 Sheppard Rd.,Graffiti,graffit on doors of building,27.10,12.25,39.35,"(44.8979, -93.1682)"
Mounds Park,05/16/2014,185 Mounds Blvd.,Graffiti,Graffiti at the intersection of Earl and Mounds,27.10,22.25,49.35,"(44.9501, -93.0679)"
Harriet Island Showboat,05/19/2014,110 Harriet Island Rd.,Graffiti,Graffiti on the ticket booth,27.10,22.25,49.35,"(44.9408, -93.0911)"
Mounds Park,05/19/2014,185 Mounds Blvd.,Graffiti,Graffiti at the intersection of Earl and Mounds,27.10,22.25,49.35,"(44.9501, -93.0679)"
City House,05/19/2014,258 Mill St,Graffiti,Graffiti inside the restroom,108.40,29.00,137.40,"(44.9391, -93.1004)"
Central Services,05/27/2014,1100 N. Hamline Ave.,Graffiti,Graffiti on west wall of cold storage garage,54.20,24.50,78.70,"(44.9752, -93.1569)"
MRB,05/28/2014,418 Summit Ave,Graffiti,Graffiti at Summit Monument and bluff wall,27.10,22.25,49.35,"(44.9415, -93.1175)"
Citywide Graffiti,05/29/2014,435 Vance St,Graffiti,435 Vance graffit ionthe sidewalk,30.17,26.65,56.83,"(44.9282, -93.1319)"
Hidden Falls,05/30/2014,1415 Mississippi River Blvd,Graffiti,Graffiti on the bridge and pillars,54.20,34.50,88.70,"(44.9065, -93.1893)"
Raspberry Island,06/03/2014,2 Wabasha St S,Graffiti,Graffiti on the bandshell,54.20,14.50,68.70,"(44.9422, -93.0911)"
Lilydale,06/03/2014,400 Water St,Graffiti,Graffit ion signs and bollars in the brick yard,54.20,24.50,78.70,"(44.932, -93.1018)"
MRB,06/03/2014,Mississippi River Blvd and Magoffin Ave,Graffiti,Graffiti on the drinking fountain at Magoffin,54.20,14.50,68.70,"(44.9089, -93.1917)"
Marydale,06/05/2014,1120 N. Dale St.,Graffiti,Graffiti on the restrooms,27.10,12.25,39.35,"(44.9748, -93.1263)"
Harriet Island Paddleford,06/09/2014,351 Water St W,Graffiti,Graffiti on ticket booth,27.10,12.25,39.35,"(44.9328, -93.1005)"
Front Skate Park,06/09/2014,485 Stinson St,Graffiti,Paint on walls,20.18,20.00,40.18,"(44.9693, -93.1205)"
Front Rec,06/10/2014,485 Stinson St.,Graffiti,Graffiti on wall in the mens restroom,54.20,24.50,78.70,"(44.9693, -93.1205)"
Phalen Regional,06/10/2014,1615 Phalen Dr,Graffiti,"Graffiti on bridgewalls, tunnel. Walking paths, sighs, monuments",687.30,126.86,814.16,"(44.9904, -93.0612)"
MRB,06/12/2014,Mississippi River Blvd S and Goodrich Ave W,Graffiti,Graffiti at MRB & Goodrich,54.20,24.50,78.70,"(44.9379, -93.1978)"
Weida Park,06/13/2014,637 Burr St.,Graffiti,Graffiti throughout the park,54.20,14.50,68.70,"(44.9605, -93.0799)"
Swede Hollow,06/13/2014,651 Greenbrier St. E.,Graffiti,"Graffiti on signs, parking lot, monument wall",108.40,49.00,157.40,"(44.9606, -93.0711)"
Citywide Graffiti,06/13/2014,779 7th St E,Graffiti,Graffiti at 779 7th St. East,30.17,21.65,51.83,"(44.9607, -93.0685)"
Groveland Rec (New),06/14/2014,2021 St. Clair Ave.,Graffiti,Marker on tot lot,10.09,20.00,30.09,"(44.9344, -93.1857)"
