index1,Grid,Block,For_Address,Latitude,Longitude,Fail
260,88.0,82x university av w,"820 University Ave W, St Paul, MN 55104, USA",44.9554389,-93.1348096,True
261,88.0,82x vanburen av,"820 Van Buren Ave, St Paul, MN 55104, USA",44.9618019,-93.13486979999999,True
262,88.0,83x blair av,"830 Blair Ave, St Paul, MN 55104, USA",44.9609669,-93.1352822,True
263,88.0,83x charles av,"830 Charles Ave, St Paul, MN 55104, USA",44.9573252,-93.13523699999999,True
264,88.0,83x edmund av,"830 Edmund Ave W, St Paul, MN 55104, USA",44.958199,-93.13525410000001,True
265,88.0,83x lafond av,"830 Lafond Ave, St Paul, MN 55104, USA",44.9600567,-93.1352611,True
267,88.0,83x minnehaha av w,"830 W Minnehaha Ave, St Paul, MN 55104, USA",44.9627894,-93.135246,True
268,88.0,83x sherburne av,"830 Sherburne Ave, St Paul, MN 55104, USA",44.9564,-93.135228,True
269,88.0,83x thomas av,"830 Thomas Ave W, St Paul, MN 55104, USA",44.9590915,-93.1352536,True
270,88.0,83x university av w,"830 University Ave W, St Paul, MN 55104, USA",44.9554305,-93.13525039999999,True
271,88.0,83x vanburen av,"830 Van Buren Ave, St Paul, MN 55104, USA",44.96184179999999,-93.13526010000001,True
272,88.0,84x blair av,"840 Blair Ave, St Paul, MN 55104, USA",44.9609136,-93.1356368,True
273,88.0,84x charles av,"840 Charles Ave, St Paul, MN 55104, USA",44.9572815,-93.1356334,True
274,88.0,84x edmund av,"840 Edmund Ave W, St Paul, MN 55104, USA",44.9581921,-93.1356502,True
275,88.0,84x minnehaha av w,"840 W Minnehaha Ave, St Paul, MN 55104, USA",44.9628118,-93.13575949999999,True
276,88.0,84x sherburne av,"840 Sherburne Ave, St Paul, MN 55104, USA",44.95641029999999,-93.13564219999999,True
277,88.0,84x thomas av,"840 Thomas Ave W, St Paul, MN 55104, USA",44.9591336,-93.1357103,True
278,88.0,84x university av w,"840 University Ave W, St Paul, MN 55104, USA",44.955444,-93.13560299999999,True
279,88.0,84x vanburen av,"840 Van Buren Ave, St Paul, MN 55104, USA",44.96186950000001,-93.1355777,True
280,88.0,85x blair av,"850 Blair Ave, St Paul, MN 55104, USA",44.9609828,-93.1360309,True
281,88.0,85x charles av,"850 Charles Ave, St Paul, MN 55104, USA",44.95733999999999,-93.1360248,True
282,88.0,85x edmund av,"850 Edmund Ave W, St Paul, MN 55104, USA",44.958216,-93.1359636,True
283,88.0,85x lafond av,"850 Lafond Ave, St Paul, MN 55104, USA",44.9599955,-93.13606279999999,True
284,88.0,85x sherburne av,"850 Sherburne Ave, St Paul, MN 55104, USA",44.9564291,-93.1360342,True
285,88.0,85x thomas av,"850 Thomas Ave W, St Paul, MN 55104, USA",44.95922770000001,-93.1360449,True
286,88.0,92x grand av,"920 Grand Ave, St Paul, MN 55105, USA",44.93965499999999,-93.1390177,False
287,88.0,95x rice st,"950 Rice St, St Paul, MN 55117, USA",44.9699624,-93.1056679,False
288,88.0,97x reaney av,"970 Reaney Ave E, St Paul, MN 55106, USA",44.9637624,-93.05956069999999,False
