Contest,PrecinctName,VotingType,Choice,Party,Votes,VotesPercent,TotalVotes,TotalVotesPercent,CastTotal,CastTotalPercent,MainTotal,MainTotalPercent,UnderVotes,UnderVotesPercent,TotalUnderVotes,TotalUnderVotesPercent,OverVotes,OverVotesPercent,TotalOverVotes,TotalOverVotesPercent,InvalidVotes,InvalidVotesPercent,TotalInvalidVotes,TotalInvalidVotesPercent,RejectedWriteInVotes,RejectedWriteInVotesPercent,TotalRejectedWriteInVotes,TotalRejectedWriteInVotesPercent,UnresolvedWriteInVotes,UnresolvedWriteInVotesPercent,TotalUnresolvedWriteInVotes,TotalUnresolvedWriteInVotesPercent
Council Member City of Saint Paul Ward One 2nd Choice - Select One,Saint Paul W-1 P-11,Election Day Voting,Anika Bowie,,51,27.27%,56,24.24%,140,74.87%,158,68.40%,47,25.13%,73,31.60%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Council Member City of Saint Paul Ward One 5th Choice - Select One,Saint Paul W-1 P-11,Absentee Voting,Dai Thao,,4,9.09%,30,12.99%,10,22.73%,86,37.23%,34,77.27%,145,62.77%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Council Member City of Saint Paul Ward One 5th Choice - Select One,Saint Paul W-1 P-11,Election Day Voting,Dai Thao,,26,13.90%,30,12.99%,76,40.64%,86,37.23%,111,59.36%,145,62.77%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Council Member City of Saint Paul Ward One 5th Choice - Select One,Saint Paul W-1 P-11,Absentee Voting,"Abu Nayeem ""Frogtown Crusader""",,4,9.09%,11,4.76%,10,22.73%,86,37.23%,34,77.27%,145,62.77%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Council Member City of Saint Paul Ward One 5th Choice - Select One,Saint Paul W-1 P-11,Election Day Voting,"Abu Nayeem ""Frogtown Crusader""",,7,3.74%,11,4.76%,76,40.64%,86,37.23%,111,59.36%,145,62.77%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Council Member City of Saint Paul Ward One 5th Choice - Select One,Saint Paul W-1 P-11,Absentee Voting,Liz De La Torre,,1,2.27%,10,4.33%,10,22.73%,86,37.23%,34,77.27%,145,62.77%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Council Member City of Saint Paul Ward One 5th Choice - Select One,Saint Paul W-1 P-11,Election Day Voting,Liz De La Torre,,9,4.81%,10,4.33%,76,40.64%,86,37.23%,111,59.36%,145,62.77%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Council Member City of Saint Paul Ward One 5th Choice - Select One,Saint Paul W-1 P-11,Absentee Voting,Anika Bowie,,1,2.27%,35,15.15%,10,22.73%,86,37.23%,34,77.27%,145,62.77%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Council Member City of Saint Paul Ward One 5th Choice - Select One,Saint Paul W-1 P-11,Election Day Voting,Anika Bowie,,34,18.18%,35,15.15%,76,40.64%,86,37.23%,111,59.36%,145,62.77%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Council Member City of Saint Paul Ward One 3rd Choice - Select One,Saint Paul W-1 P-11,Absentee Voting,Dai Thao,,4,9.09%,40,17.32%,14,31.82%,137,59.31%,30,68.18%,94,40.69%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Council Member City of Saint Paul Ward One 3rd Choice - Select One,Saint Paul W-1 P-11,Election Day Voting,Dai Thao,,36,19.25%,40,17.32%,123,65.78%,137,59.31%,64,34.22%,94,40.69%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Council Member City of Saint Paul Ward One 3rd Choice - Select One,Saint Paul W-1 P-11,Absentee Voting,"Abu Nayeem ""Frogtown Crusader""",,6,13.64%,34,14.72%,14,31.82%,137,59.31%,30,68.18%,94,40.69%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Council Member City of Saint Paul Ward One 3rd Choice - Select One,Saint Paul W-1 P-11,Election Day Voting,"Abu Nayeem ""Frogtown Crusader""",,28,14.97%,34,14.72%,123,65.78%,137,59.31%,64,34.22%,94,40.69%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Council Member City of Saint Paul Ward One 3rd Choice - Select One,Saint Paul W-1 P-11,Absentee Voting,Liz De La Torre,,1,2.27%,21,9.09%,14,31.82%,137,59.31%,30,68.18%,94,40.69%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Council Member City of Saint Paul Ward One 3rd Choice - Select One,Saint Paul W-1 P-11,Election Day Voting,Liz De La Torre,,20,10.70%,21,9.09%,123,65.78%,137,59.31%,64,34.22%,94,40.69%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Council Member City of Saint Paul Ward One 3rd Choice - Select One,Saint Paul W-1 P-11,Absentee Voting,Anika Bowie,,3,6.82%,42,18.18%,14,31.82%,137,59.31%,30,68.18%,94,40.69%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Council Member City of Saint Paul Ward One 3rd Choice - Select One,Saint Paul W-1 P-11,Election Day Voting,Anika Bowie,,39,20.86%,42,18.18%,123,65.78%,137,59.31%,64,34.22%,94,40.69%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
City Question 1,Saint Paul W-1 P-11,Absentee Voting,Yes,,23,52.27%,119,51.52%,32,72.73%,205,88.74%,12,27.27%,26,11.26%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
City Question 1,Saint Paul W-1 P-11,Election Day Voting,Yes,,96,51.34%,119,51.52%,173,92.51%,205,88.74%,14,7.49%,26,11.26%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
City Question 1,Saint Paul W-1 P-11,Absentee Voting,No,,9,20.45%,86,37.23%,32,72.73%,205,88.74%,12,27.27%,26,11.26%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
City Question 1,Saint Paul W-1 P-11,Election Day Voting,No,,77,41.18%,86,37.23%,173,92.51%,205,88.74%,14,7.49%,26,11.26%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
School Board Member Independent School District No. 625 Saint Paul Public Schools - Vote for Up to Four,Saint Paul W-1 P-11,Absentee Voting,Charlie Castro,,6,3.41%,40,4.33%,83,47.16%,549,59.42%,93,52.84%,375,40.58%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
School Board Member Independent School District No. 625 Saint Paul Public Schools - Vote for Up to Four,Saint Paul W-1 P-11,Election Day Voting,Charlie Castro,,34,4.55%,40,4.33%,466,62.30%,549,59.42%,282,37.70%,375,40.58%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
School Board Member Independent School District No. 625 Saint Paul Public Schools - Vote for Up to Four,Saint Paul W-1 P-11,Absentee Voting,Omar Syed,,18,10.23%,72,7.79%,83,47.16%,549,59.42%,93,52.84%,375,40.58%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
School Board Member Independent School District No. 625 Saint Paul Public Schools - Vote for Up to Four,Saint Paul W-1 P-11,Election Day Voting,Omar Syed,,54,7.22%,72,7.79%,466,62.30%,549,59.42%,282,37.70%,375,40.58%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
School Board Member Independent School District No. 625 Saint Paul Public Schools - Vote for Up to Four,Saint Paul W-1 P-11,Absentee Voting,Jennifer McPherson,,7,3.98%,48,5.19%,83,47.16%,549,59.42%,93,52.84%,375,40.58%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
School Board Member Independent School District No. 625 Saint Paul Public Schools - Vote for Up to Four,Saint Paul W-1 P-11,Election Day Voting,Jennifer McPherson,,41,5.48%,48,5.19%,466,62.30%,549,59.42%,282,37.70%,375,40.58%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
School Board Member Independent School District No. 625 Saint Paul Public Schools - Vote for Up to Four,Saint Paul W-1 P-11,Absentee Voting,Elijah Norris-Holliday,,5,2.84%,37,4.00%,83,47.16%,549,59.42%,93,52.84%,375,40.58%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
School Board Member Independent School District No. 625 Saint Paul Public Schools - Vote for Up to Four,Saint Paul W-1 P-11,Election Day Voting,Elijah Norris-Holliday,,32,4.28%,37,4.00%,466,62.30%,549,59.42%,282,37.70%,375,40.58%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
School Board Member Independent School District No. 625 Saint Paul Public Schools - Vote for Up to Four,Saint Paul W-1 P-11,Absentee Voting,Jessica Kopp,,3,1.70%,47,5.09%,83,47.16%,549,59.42%,93,52.84%,375,40.58%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
School Board Member Independent School District No. 625 Saint Paul Public Schools - Vote for Up to Four,Saint Paul W-1 P-11,Election Day Voting,Jessica Kopp,,44,5.88%,47,5.09%,466,62.30%,549,59.42%,282,37.70%,375,40.58%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
School Board Member Independent School District No. 625 Saint Paul Public Schools - Vote for Up to Four,Saint Paul W-1 P-11,Absentee Voting,Tiffany Fearing,,4,2.27%,31,3.35%,83,47.16%,549,59.42%,93,52.84%,375,40.58%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
School Board Member Independent School District No. 625 Saint Paul Public Schools - Vote for Up to Four,Saint Paul W-1 P-11,Election Day Voting,Tiffany Fearing,,27,3.61%,31,3.35%,466,62.30%,549,59.42%,282,37.70%,375,40.58%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
School Board Member Independent School District No. 625 Saint Paul Public Schools - Vote for Up to Four,Saint Paul W-1 P-11,Absentee Voting,Steve Marchese,,10,5.68%,51,5.52%,83,47.16%,549,59.42%,93,52.84%,375,40.58%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
School Board Member Independent School District No. 625 Saint Paul Public Schools - Vote for Up to Four,Saint Paul W-1 P-11,Election Day Voting,Steve Marchese,,41,5.48%,51,5.52%,466,62.30%,549,59.42%,282,37.70%,375,40.58%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
School Board Member Independent School District No. 625 Saint Paul Public Schools - Vote for Up to Four,Saint Paul W-1 P-11,Absentee Voting,Zuki Ellis,,12,6.82%,85,9.20%,83,47.16%,549,59.42%,93,52.84%,375,40.58%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
School Board Member Independent School District No. 625 Saint Paul Public Schools - Vote for Up to Four,Saint Paul W-1 P-11,Election Day Voting,Zuki Ellis,,73,9.76%,85,9.20%,466,62.30%,549,59.42%,282,37.70%,375,40.58%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
School Board Member Independent School District No. 625 Saint Paul Public Schools - Vote for Up to Four,Saint Paul W-1 P-11,Absentee Voting,Ryan Williams,,5,2.84%,46,4.98%,83,47.16%,549,59.42%,93,52.84%,375,40.58%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
School Board Member Independent School District No. 625 Saint Paul Public Schools - Vote for Up to Four,Saint Paul W-1 P-11,Election Day Voting,Ryan Williams,,41,5.48%,46,4.98%,466,62.30%,549,59.42%,282,37.70%,375,40.58%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
School Board Member Independent School District No. 625 Saint Paul Public Schools - Vote for Up to Four,Saint Paul W-1 P-11,Absentee Voting,Chauntyll Allen,,13,7.39%,92,9.96%,83,47.16%,549,59.42%,93,52.84%,375,40.58%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
School Board Member Independent School District No. 625 Saint Paul Public Schools - Vote for Up to Four,Saint Paul W-1 P-11,Election Day Voting,Chauntyll Allen,,79,10.56%,92,9.96%,466,62.30%,549,59.42%,282,37.70%,375,40.58%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Council Member City of Saint Paul Ward One 1st Choice - Select One,Saint Paul W-1 P-12,Absentee Voting,Dai Thao,,13,52.00%,69,43.67%,24,96.00%,148,93.67%,1,4.00%,10,6.33%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Council Member City of Saint Paul Ward One 1st Choice - Select One,Saint Paul W-1 P-12,Election Day Voting,Dai Thao,,56,42.11%,69,43.67%,124,93.23%,148,93.67%,9,6.77%,10,6.33%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Council Member City of Saint Paul Ward One 1st Choice - Select One,Saint Paul W-1 P-12,Absentee Voting,"Abu Nayeem ""Frogtown Crusader""",,3,12.00%,13,8.23%,24,96.00%,148,93.67%,1,4.00%,10,6.33%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Council Member City of Saint Paul Ward One 1st Choice - Select One,Saint Paul W-1 P-12,Election Day Voting,"Abu Nayeem ""Frogtown Crusader""",,10,7.52%,13,8.23%,124,93.23%,148,93.67%,9,6.77%,10,6.33%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Council Member City of Saint Paul Ward One 1st Choice - Select One,Saint Paul W-1 P-12,Absentee Voting,Liz De La Torre,,6,24.00%,29,18.35%,24,96.00%,148,93.67%,1,4.00%,10,6.33%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Council Member City of Saint Paul Ward One 1st Choice - Select One,Saint Paul W-1 P-12,Election Day Voting,Liz De La Torre,,23,17.29%,29,18.35%,124,93.23%,148,93.67%,9,6.77%,10,6.33%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Council Member City of Saint Paul Ward One 1st Choice - Select One,Saint Paul W-1 P-12,Absentee Voting,Anika Bowie,,2,8.00%,37,23.42%,24,96.00%,148,93.67%,1,4.00%,10,6.33%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Council Member City of Saint Paul Ward One 1st Choice - Select One,Saint Paul W-1 P-12,Election Day Voting,Anika Bowie,,35,26.32%,37,23.42%,124,93.23%,148,93.67%,9,6.77%,10,6.33%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Council Member City of Saint Paul Ward One 4th Choice - Select One,Saint Paul W-1 P-12,Absentee Voting,Dai Thao,,0,0.00%,21,13.29%,4,16.00%,51,32.28%,21,84.00%,107,67.72%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Council Member City of Saint Paul Ward One 4th Choice - Select One,Saint Paul W-1 P-12,Election Day Voting,Dai Thao,,21,15.79%,21,13.29%,47,35.34%,51,32.28%,86,64.66%,107,67.72%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Council Member City of Saint Paul Ward One 4th Choice - Select One,Saint Paul W-1 P-12,Absentee Voting,"Abu Nayeem ""Frogtown Crusader""",,1,4.00%,18,11.39%,4,16.00%,51,32.28%,21,84.00%,107,67.72%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Council Member City of Saint Paul Ward One 4th Choice - Select One,Saint Paul W-1 P-12,Election Day Voting,"Abu Nayeem ""Frogtown Crusader""",,17,12.78%,18,11.39%,47,35.34%,51,32.28%,86,64.66%,107,67.72%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Council Member City of Saint Paul Ward One 4th Choice - Select One,Saint Paul W-1 P-12,Absentee Voting,Liz De La Torre,,1,4.00%,3,1.90%,4,16.00%,51,32.28%,21,84.00%,107,67.72%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Council Member City of Saint Paul Ward One 4th Choice - Select One,Saint Paul W-1 P-12,Election Day Voting,Liz De La Torre,,2,1.50%,3,1.90%,47,35.34%,51,32.28%,86,64.66%,107,67.72%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Council Member City of Saint Paul Ward One 4th Choice - Select One,Saint Paul W-1 P-12,Absentee Voting,Anika Bowie,,2,8.00%,9,5.70%,4,16.00%,51,32.28%,21,84.00%,107,67.72%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Council Member City of Saint Paul Ward One 4th Choice - Select One,Saint Paul W-1 P-12,Election Day Voting,Anika Bowie,,7,5.26%,9,5.70%,47,35.34%,51,32.28%,86,64.66%,107,67.72%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Council Member City of Saint Paul Ward One 2nd Choice - Select One,Saint Paul W-1 P-12,Absentee Voting,Dai Thao,,4,16.00%,43,27.22%,15,60.00%,113,71.52%,10,40.00%,45,28.48%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Council Member City of Saint Paul Ward One 2nd Choice - Select One,Saint Paul W-1 P-12,Election Day Voting,Dai Thao,,39,29.32%,43,27.22%,98,73.68%,113,71.52%,35,26.32%,45,28.48%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Council Member City of Saint Paul Ward One 2nd Choice - Select One,Saint Paul W-1 P-12,Absentee Voting,"Abu Nayeem ""Frogtown Crusader""",,1,4.00%,9,5.70%,15,60.00%,113,71.52%,10,40.00%,45,28.48%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Council Member City of Saint Paul Ward One 2nd Choice - Select One,Saint Paul W-1 P-12,Election Day Voting,"Abu Nayeem ""Frogtown Crusader""",,8,6.02%,9,5.70%,98,73.68%,113,71.52%,35,26.32%,45,28.48%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Council Member City of Saint Paul Ward One 2nd Choice - Select One,Saint Paul W-1 P-12,Absentee Voting,Liz De La Torre,,2,8.00%,29,18.35%,15,60.00%,113,71.52%,10,40.00%,45,28.48%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Council Member City of Saint Paul Ward One 2nd Choice - Select One,Saint Paul W-1 P-12,Election Day Voting,Liz De La Torre,,27,20.30%,29,18.35%,98,73.68%,113,71.52%,35,26.32%,45,28.48%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Council Member City of Saint Paul Ward One 2nd Choice - Select One,Saint Paul W-1 P-12,Absentee Voting,Anika Bowie,,8,32.00%,32,20.25%,15,60.00%,113,71.52%,10,40.00%,45,28.48%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Council Member City of Saint Paul Ward One 2nd Choice - Select One,Saint Paul W-1 P-12,Election Day Voting,Anika Bowie,,24,18.05%,32,20.25%,98,73.68%,113,71.52%,35,26.32%,45,28.48%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Council Member City of Saint Paul Ward One 5th Choice - Select One,Saint Paul W-1 P-12,Absentee Voting,Dai Thao,,0,0.00%,13,8.23%,1,4.00%,22,13.92%,24,96.00%,136,86.08%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Council Member City of Saint Paul Ward One 5th Choice - Select One,Saint Paul W-1 P-12,Election Day Voting,Dai Thao,,13,9.77%,13,8.23%,21,15.79%,22,13.92%,112,84.21%,136,86.08%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Council Member City of Saint Paul Ward One 5th Choice - Select One,Saint Paul W-1 P-12,Absentee Voting,"Abu Nayeem ""Frogtown Crusader""",,0,0.00%,3,1.90%,1,4.00%,22,13.92%,24,96.00%,136,86.08%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Council Member City of Saint Paul Ward One 5th Choice - Select One,Saint Paul W-1 P-12,Election Day Voting,"Abu Nayeem ""Frogtown Crusader""",,3,2.26%,3,1.90%,21,15.79%,22,13.92%,112,84.21%,136,86.08%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Council Member City of Saint Paul Ward One 5th Choice - Select One,Saint Paul W-1 P-12,Absentee Voting,Liz De La Torre,,0,0.00%,2,1.27%,1,4.00%,22,13.92%,24,96.00%,136,86.08%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Council Member City of Saint Paul Ward One 5th Choice - Select One,Saint Paul W-1 P-12,Election Day Voting,Liz De La Torre,,2,1.50%,2,1.27%,21,15.79%,22,13.92%,112,84.21%,136,86.08%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Council Member City of Saint Paul Ward One 5th Choice - Select One,Saint Paul W-1 P-12,Absentee Voting,Anika Bowie,,1,4.00%,4,2.53%,1,4.00%,22,13.92%,24,96.00%,136,86.08%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Council Member City of Saint Paul Ward One 5th Choice - Select One,Saint Paul W-1 P-12,Election Day Voting,Anika Bowie,,3,2.26%,4,2.53%,21,15.79%,22,13.92%,112,84.21%,136,86.08%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Council Member City of Saint Paul Ward One 3rd Choice - Select One,Saint Paul W-1 P-12,Absentee Voting,Dai Thao,,3,12.00%,21,13.29%,9,36.00%,80,50.63%,16,64.00%,78,49.37%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Council Member City of Saint Paul Ward One 3rd Choice - Select One,Saint Paul W-1 P-12,Election Day Voting,Dai Thao,,18,13.53%,21,13.29%,71,53.38%,80,50.63%,62,46.62%,78,49.37%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Council Member City of Saint Paul Ward One 3rd Choice - Select One,Saint Paul W-1 P-12,Absentee Voting,"Abu Nayeem ""Frogtown Crusader""",,1,4.00%,17,10.76%,9,36.00%,80,50.63%,16,64.00%,78,49.37%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Council Member City of Saint Paul Ward One 3rd Choice - Select One,Saint Paul W-1 P-12,Election Day Voting,"Abu Nayeem ""Frogtown Crusader""",,16,12.03%,17,10.76%,71,53.38%,80,50.63%,62,46.62%,78,49.37%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Council Member City of Saint Paul Ward One 3rd Choice - Select One,Saint Paul W-1 P-12,Absentee Voting,Liz De La Torre,,2,8.00%,23,14.56%,9,36.00%,80,50.63%,16,64.00%,78,49.37%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Council Member City of Saint Paul Ward One 3rd Choice - Select One,Saint Paul W-1 P-12,Election Day Voting,Liz De La Torre,,21,15.79%,23,14.56%,71,53.38%,80,50.63%,62,46.62%,78,49.37%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Council Member City of Saint Paul Ward One 3rd Choice - Select One,Saint Paul W-1 P-12,Absentee Voting,Anika Bowie,,3,12.00%,19,12.03%,9,36.00%,80,50.63%,16,64.00%,78,49.37%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Council Member City of Saint Paul Ward One 3rd Choice - Select One,Saint Paul W-1 P-12,Election Day Voting,Anika Bowie,,16,12.03%,19,12.03%,71,53.38%,80,50.63%,62,46.62%,78,49.37%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
City Question 1,Saint Paul W-1 P-12,Absentee Voting,Yes,,13,52.00%,102,64.56%,25,100.00%,156,98.73%,0,0.00%,2,1.27%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
City Question 1,Saint Paul W-1 P-12,Election Day Voting,Yes,,89,66.92%,102,64.56%,131,98.50%,156,98.73%,2,1.50%,2,1.27%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
City Question 1,Saint Paul W-1 P-12,Absentee Voting,No,,12,48.00%,54,34.18%,25,100.00%,156,98.73%,0,0.00%,2,1.27%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
City Question 1,Saint Paul W-1 P-12,Election Day Voting,No,,42,31.58%,54,34.18%,131,98.50%,156,98.73%,2,1.50%,2,1.27%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
School Board Member Independent School District No. 625 Saint Paul Public Schools - Vote for Up to Four,Saint Paul W-1 P-12,Absentee Voting,Charlie Castro,,5,5.00%,42,6.65%,63,63.00%,390,61.71%,37,37.00%,242,38.29%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
